labels,text
it,"Jules Jordan, pseudonimo di Ashley Gasper, è un regista, manager ed ex attore pornografico statunitense, dirigente della società di produzione pornografica che porta il suo nome."
en,"""Mississippi Cotton Picking Delta Town"" is a song written by Harold Dorman and George Gann, and recorded by American country music artist Charley Pride. It was released in August 1974 as the first single from his album Pride of America. The song peaked at number 3 on the Billboard Hot Country Singles chart. It also reached number 1 on the RPM Country Tracks chart in Canada."
ja,HD 10180は、太陽に似たG型主系列星である。
ar,المُباح أو الحَلال هو مُصطلح ديني يُستعمل في الفقه الإسلامي للدلالةِ على العَمل الذي لا يُثاب فاعلهُ ولا يُؤثم تاركه، وهو أحد الأحكام الخمسة على الأشياءِ والأفعال وهي الفرضية والاستحباب والإباحة والكراهة والتحريم. وتطلق أيضاً على الطعام المباح.
ar,خافي ماركيز ‏ لاعب كرة قدم إسباني يلعب حاليا لصالح نادي الدرجة الأولى إسبانيول الإسباني منذ 2005 في مركز الوسط المحوري كما يجيد اللعب في مركز الوسط الأيسر.
it,"Ron Carey, pseudonimo di Ronald Joseph Cicenia, è stato un attore statunitense."
it,"Alessandro Alfieri è un politico italiano, senatore della Repubblica per il Partito Democratico dal 2018."
it,"Otěšice è un comune della Repubblica Ceca facente parte del distretto di Plzeň-jih, nella regione di Plzeň."
it,Mogibacterium neglectum è una specie di batterio appartenente alla famiglia delle Eubacteriaceae.
tr,"NGC 4503, Yeni Genel Katalog'da yer alan bir galaksidir. Gökyüzünde Yelken takımyıldızı yönünde bulunur. SB0 tipi bir çubuklu sarmal galaksidir. İngiliz astronom William Herschel tarafından 1784 yılında 47,5 cm çaplı aynalı tip bir teleskopla keşfedilmiştir."
fr,"Au-dessus de la mêlée est un texte sur la Première Guerre mondiale écrit par Romain Rolland le 15 septembre 1914 et publié en supplément du Journal de Genève du 22 septembre. C'est aussi sous le titre Au-dessus de la mêlée qu'est réunie, chez Paul Ollendorff en novembre 1915, la série d'articles qu'il a écrits en Suisse au début du conflit, parus dans divers périodiques du 29 août 1914 au 1er septembre 1915."
vi,"Dağeteği là một xã thuộc thành phố Şanlıurfa, tỉnh Şanlıurfa, Thổ Nhĩ Kỳ. Dân số thời điểm năm 2011 là 1.167 người."
en,"The 2003 Coupe de France final was a football match held at Stade de France, Saint-Denis on 31 May 2003. In it, AJ Auxerre defeated Paris SG 2-1 with goals from Djibril Cissé and Jean-Alain Boumsong."
zh,马尾杉，为石杉科马尾杉属下的一个植物种。
en,"The Girl Who Knew Too Much is a 1969 neo noir film starring Adam West as Johnny Cain, a nightclub owner and former freelance adventurer who is forced out of retirement when a crime syndicate boss is murdered in his nightclub and investigations lead into unexpected areas. It was the final film of director Francis D. Lyon and United Pictures Corporation."
th,โคไตชิฮิ (皇太子妃) หรือ มกุฎราชกุมารี พระอิสริยยศสำหรับพระชายาของรัชทายาทหรือมกุฏราชกุมารแห่งญี่ปุ่นซึ่งมีมาแต่ครั้งโบราณกาล
es,Alestes schoutedeni es una especie de peces de la familia Alestiidae en el orden de los Characiformes.
it,"L'esplorazione di Marte è una parte importante delle missioni di esplorazione spaziale dell'Unione Sovietica e della Federazione russa, degli Stati Uniti e dell'Europa; alle organizzazioni di tali paesi si sono aggiunte dagli anni 2010 India e Cina. Dagli anni sessanta sono state inviate verso Marte dozzine di sonde automatiche senza equipaggio, che includevano orbiter, lander e rover, per raccogliere dati e rispondere a domande sul pianeta rosso e il suo passato, che potrebbero portare a scoperte ulteriori per il passato, presente e futuro della Terra."
th,ปลวกแดง เป็นอำเภอหนึ่งของจังหวัดระยอง
ja,能代南インターチェンジ（のしろみなみインターチェンジ）は、秋田県能代市にある秋田自動車道のインターチェンジである。
fr,"Ganesh Geymeier, né en 1984 à Lausanne, est un saxophoniste suisse d'origine germano-malaisienne."
