labels,text
pt,Cora também foi analista para a ESPN e estudou na Universidade de Miami.
fr,"Archail-Draix est une ancienne commune française, située dans le département des Alpes-de-Haute-Provence en région Provence-Alpes-Côte d'Azur."
pt,Ela se graduou do grupo em 19 de abril de 2017.
it,"Llanddona è villaggio con status di community del Galles nord-occidentale, situato nell'isola di Anglesey."
vi,Loài này được (Spruce) Schiffner mô
ko,"바다표범, 레밍, 북극곰의 번식지이다."
ar,هوراس كاربينتير هو سياسي أمريكي ، ولد في يوليو 1824 في غالواي في الولايات المتحدة ، وتوفي في 31 يناير 1918 في نيويورك في الولايات المتحدة .
es,Su población es de 19883 habitantes (2011).
ja,日本語では「君去りし後」ないし「君去りしのち」の曲名で言及されることもある。
de,im frühen Film ungewöhnlich natürliche und subtile Darstellungskunst.
ru,Тираж издания: 50 000 экземпляров.
fr,Il a été naturalisé français fin 1999.
es,"Fue reemplazado por Taavi Rõivas, quien formó un nuevo gobierno de coalición con la SDE."
vi,Đây cũng là địa điểm chính của Đại hội
pt,Weligton Robson Pena de Oliveira mais conhecido como Weligton é um ex-futebolista brasileiro.
ja,湯西川温泉（ゆにしがわおんせん）は、栃木県日光市（旧下野国）の日光国立公園内にある温泉である。
it,"Salvatore Pietrocola è stato un militare e carabiniere italiano, insignito della medaglia d'oro al valor militare alla memoria durante il corso della Guerra d'Etiopia."
zh,贝尔南 是法国伊泽尔省的一个市镇，位于该省中南部偏东，属于格勒诺布尔区。
en,"Forever Love is a 1998 television film, partially based on Annie Shapiro's awakening, starring Reba McEntire and Bess Armstrong."
ru,SAIC не смогла приобрести права на торговую марку Rover и создал марку Roewe в качестве замены.
fr,"Le col, situé entre le Lauberhorn et la crête de l'Eiger, comporte un complexe d'hôtels et de bâtiments ferroviaires."
ru,Tachyporinae (лат.) — подсемейство жуков-стафилинид.
pt,"Sauzelles é uma comuna francesa na região administrativa do Centro, no departamento de Indre."
tr,"Yüzölçümü 176,93 km² olan belediyenin nüfusu 2021 yılı itibarı ile 8.895'tir."
zh,体育中心站是一个位于中国天津市南开区体育中心街道凌宾路天津奥林匹克中心体育场西侧，属于天津地铁5号线的地铁车站。
zh,由于离地球较远通信不畅，空间探测器通常有较完备的自动化系统，甚至具有一定程度的人工智能，以便在无人控制的情况下按實際情況來進行任務。
tr,Southwark Birleşik Krallık'ın başkenti Londra'da bulunan bir semttir.
vi,"đầu thế kỷ 21, Newsweek bắt đầu phát triển mạnh ấn bản trực tuyến như một hướng phát triển mới của tạp chí."
zh,各卡乡，是中华人民共和国四川省甘孜藏族自治州稻城县下辖的一个乡镇级行政单位。
tr,"Bizans mutfağı, Bizans İmparatorluğu mutfak kültürüdür."
en,"Founded in 1946 they have been competing in AFC Champions League since 1970 and have become one of the most successful teams in Aisa, winning two major continental trophies including two Asian cups and are ranked joint second among all clubs across the continent in this regard."
it,Conta una popolazione di circa 650 abitanti.
ko,하계 올림픽을 통해
ko,달렌빌역(독일어: Dallenwil)은 스위스 니트발덴주의 달렌빌에 있는 기차역이다.
en,He was a member of the Liberal Party.
en,O'Day is a prominent lunar impact crater that is located on the far side of the Moon.
